央妈直播,#genre#
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8
SiTV全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
SiTV动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8
SiTV游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
SiTV生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
SiTV都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
中国环球电视,http://live.cgtn.com/500/prog_index.m3u8
天元围棋,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000144
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
女神上海,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
化蝶随你飞,http://em.21dtv.com/songs/60110003.mkv
为爱停留,http://em.21dtv.com/songs/60110006.mkv
不爱就滚开,http://em.21dtv.com/songs/60110043.mkv
寂寞空虚冷,http://em.21dtv.com/songs/60110045.mkv
中国山水画,http://em.21dtv.com/songs/60110044.mkv
大风吹,http://vdown2.kuwo.cn/resource//t5/0/eTNBMFltlx07LI3bUVOg01041201VIsY0E010.mp4
醉倾城,http://videosc.kuwo.cn/UAA-4hndfVc5V6DJX0EvslAUBBI=/lhXcbl-l_ujsig79B4Ez5jT7tBNB
西海情歌,http://vdown.kuwo.cn/resource//t4/6/86/TbCpJTdV4o0.mp4
得意的笑,http://vdown.kuwo.cn/resource//t4/22/49/ZAlSw_dVq1Q.mp4
你不来我不老,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgnLzE4gUoxaHkBg.mp4
远走高飞,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgn-zL9QUo4L7HJQ.mp4
酒醉的蝴蝶,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgjvvL9QUo3cjNuQY.mp4
情火,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgwfvL9QUoyKDRhQI.mp4
别知己,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9sG2-AUo4MTLmAQ.mp4
缘分一道桥,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw4vG4gUozNe3-QM.mp4
不一样的美,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgmfvL9QUolKvHtQE.mp4
成都,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgx5ei5wUoqOfenwE.mp4
野花香,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3oaO9wUo4J6WwQU.mp4
刀郎经典歌曲7首《西海情歌》《敖包相会》《情人》冲,https://vdse.bdstatic.com//628ca08719cef5987ea2ae3c6f0d2386.mp4
刀郎经典歌曲精选,https://vdse.bdstatic.com//4fcca19a19aa4974230c5ee70ab5fa55.mp4
刀郎经典老歌《手心里的温柔》《西海情歌》《披着羊皮,https://vdse.bdstatic.com//2f53687e421524efba9ba2b528f7bd12.mp4
刀郎经典老歌合集《披着羊皮的狼》《西海情歌》《冲动,https://vdse.bdstatic.com//bfbb0871ed01eb3328497faae6a8531b.mp4
《窗外》《同桌的你》《心太软》《心雨》《小芳》,https://vdse.bdstatic.com//97183ae857df5213fcfaf0fabc18efc3.mp4
《涛声依旧》《雾里看花》《窗外》《心雨》《听心》《,https://vdse.bdstatic.com//db8ba0fda2aad9cb15aa32887a160f06.mp4
《天路》《驼铃》《鸿雁》《九儿》《绒花》《小芳》,https://vdse.bdstatic.com//e4b7325ebf3010673a51a24f948a8a97.mp4
《驼铃》《卓玛》《天边》《鸿雁》《天路》草原歌曲,https://vdse.bdstatic.com//f8f4740a4ca7ff31c3a2d8386fc14598.mp4
《老歌DJ版】《精选8首》,https://vdse.bdstatic.com//525174705415c8773bd465ce4b88b18d.mp4
后来,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9_qv4gUo4vCgPQ.mp4
兄弟难当,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg97nE4gUooPX7tQU.mp4
水云涧,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgvLrE4gUon5qCgAU.mp4
套马杆,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgnLvE4gUo8NTRJA.mp4
草原情哥哥,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg26rA4gUou4uf7AU.mp4
没有你陪伴我真的好孤单,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgpPqtggYozbG1SQ.mp4
柔柔的眼波柔柔的你,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9dvx9wUowK2B3AY.mp4
电影台50,http://bp-caster.bestv.com.cn/494/1/video.m3u8
隆化电影,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
武侠剧场1,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351762426
古装剧场,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351814644
传奇剧场,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1352227153
新泰影视,http://111.17.214.4:1935/live/xtys/playlist.m3u8
苏州电影娱乐,https://liveshowbak2.kan0512.com/norecord/ncsztv4_sd/playlist.m3u8

午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
女神影院,https://pull.kktv8.com/livekktv/99350550.flv
女神经典,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
赛马直击,http://gslb.cdn.hk.chinamobile.com/live/d2afb43f61464fc5a3d3b1b0a4c187a1/11a674a3cca94ceaafab4bd0e2ae634c-2.m3u8
13.科幻系列,http://epg.112114.xyz/douyu/8107217
14.变种人电影,http://epg.112114.xyz/douyu/9651304
15.小宇60帧,http://epg.112114.xyz/douyu/323876
测试台 测试台,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master_2400.m3u8

惊悚午夜,http://lvbaiducdncmn.inter.iqiyi.com/tslive/c51_lb_115_600_t10/c51_lb_115_600_t10.m3u8
jj斗地主,http://bp-caster.bestv.com.cn:80/359/1/video.m3u8
英雄联盟,http://hls-ott-zhibo.wasu.tv/live/461/index.m3u8
广东影视,http://218.17.216.102:9901/tsfile/live/1008_1.m3u8
万州影视,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
河北影视,https://jwplay.hebyun.com.cn:443/live/hbystv/1500k/tzwj_video.m3u8
南宁影视,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
绍兴影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
海西影视,http://stream.haixitv.cn/1/sd/live.m3u8
浙江影视,https://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
溧水影视,http://live.lsrmw.cn/ysyl/sd/live.m3u8
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8?_upt=f6b685651648171016
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8
溧水影视,https://live.lsrmw.cn/ysyl/sd/live.m3u8
镇海先锋影视,http://pluslive.zhxww.net/channel2/sd/live.m3u8
柳林影视,http://pili-live-hls.212.i2863.com/i2863-212/live_212_316579.m3u8
滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
烟台影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129-1.m3u8
菏泽影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
河北影视剧,https://event.pull.hebtv.com/jishi/yingshijupindao.m3u8
长沙影视频道,https://hls.quklive.com/live/1551749282880742/index.m3u8
北京影视,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv4_1/index.m3u8?adapt=0&BR=audio
万州影视文艺,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
万州影视文艺,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
新泰影视频道,http://live.xtgdw.cn:1935/live/xtys/playlist.m3u8
新泰影视频道,http://111.17.214.4:1935/live/xtys/playlist.m3u8
新昌休闲影视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
浙江影视台,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
石河子影视文体,http://124.88.144.73:1935/live/jjsh/HasBahCa.m3u8
深圳电视剧,http://218.17.216.102:9901/tsfile/live/1057_1.m3u8

Hunter动漫热血老贼冒险,http://epg.112114.xyz/douyu/6610883
RM-点播点播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/131977
RM-轮播轮播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/7298973
贝爷MAX厅科幻动作经典喜剧,http://epg.112114.xyz/douyu/4332
贝爷影厅经典科幻动作灾难巨兽,http://epg.112114.xyz/douyu/252802
动画电影童年回忆,http://epg.112114.xyz/douyu/10395973
科幻Fans精彩科幻影视，解说连连看,http://epg.112114.xyz/douyu/3508304
神剧经典神剧,http://epg.112114.xyz/douyu/3700024
6台电影,http://123.6.9.146/live/jz-cctv-6/live.m3u8?zyangd
⒔电影轮播1280*720,http://hpull.kktv8.com/livekktv/99592190/playlist.m3u8
CCTV-6电影,http://111.20.35.103:6610/yinhe/2/ch00000090990000001016/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-6电影,http://111.20.35.103:6610/yinhe/2/ch00000090990000001588/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-6电影,http://123.6.9.146/live/jz-cctv-6/live.m3u8
孟姜女哭长城,https://hxf.gzc.svp.tencent-cloud.com/0b78l4aaaaaa24aoe4q3wbqfax6dabpqaaaa.f10002.mp4?
CCTV风云剧场,http://42.176.185.28:9901/tsfile/live/1030_1.m3u8
CCTV风云剧场,http://42.176.185.28:9901/tsfile/live/1030_1.m3u8?$超清1080P
CHC动作电影,http://111.20.35.103:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CHC高清电影,http://111.20.35.103:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CHC家庭影院,http://111.20.35.103:6610/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-6电影,http://mrcat.myqnapcloud.com:4022/udp/239.81.0.233:4056
iHOT爱青春,http://ikuai9.com:4000/udp/239.93.42.16:5140
IPTV-4K,http://home.111818.xyz:8888/udp/239.76.252.35:9000
IPTV高清院线,http://home.111818.xyz:8888/udp/239.76.252.217:9000
KK_经典电影,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
KK_影视频道,http://hpull.kktv8.com/livekktv/99592190/playlist.m3u8
KK女神影院,https://pull.kktv8.com/livekktv/99350550/playlist.m3u8
SiTV都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
阿班与酋迪,https://50069.njc.svp.tencent-cloud.com//0bc3zqaawaaaseaebfnrwrrfbtgdbpgaacya.f10002.mp4?
爱的初体验1920*1080,http://em.21dtv.com/songs/60118684.mkv
爱奇艺宝宝巴士1280*720,http://aliyuncdnct.inter.ptqy.gitv.tv/tslive/c55_lb_153_720P_t10/c55_lb_153_720P_t10.m3u8?key=08b3f8f3a31f12001f96a0f53163b0596
安徽影院,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8?zanhd
百视电影,http://bp-caster.bestv.com.cn/532/1/video.m3u8
绑架女模特,https://zjrsys.gzc.svp.tencent-cloud.com/0b78nuaayaaa3iabihjswvqfa3odbrwqadaa.f10002.mp4?
贝爷MAX厅,http://epg.112114.xyz/douyu/4332
贝爷影厅1,http://epg.112114.xyz/douyu/252802
变种人电影,http://epg.112114.xyz/douyu/9651304
遍地狼烟,https://zjrsys.gzc.svp.tencent-cloud.com/0b2eqaaacaaaviabdd7bdbqvbagdagaaaaia.f10002.mp4?
滨海影事,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8?ztianjd
滨海影院,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8?ztianjd
兵团八师石河子影文体,http://124.88.144.73:1935/live/jjsh/playlist.m3u8?zxinjd
兵团五师双河影,https://liveout.btzx.com.cn/62ds9e/6o77s4.m3u8?zxinjd
不知所措,http://mobi.kuwo.cn/tmevideo/tme1257694.mp4
拆弹专家2,http://cs.gzc.svp.tencent-cloud.com/0b78vmaawaaakaakdczqwzqfbk6dbovqacya.f10002.mp4?
超能计划,http://cs.gzc.svp.tencent-cloud.com/0b2eryaaeaaaxmaakh77nrrfbdwdakhaaaqa.f10002.mp4?
大鸿米店,https://zjrsys.gzc.svp.tencent-cloud.com/0bf2z4aayaaaouaepeti6fqfbt6dbthqadaa.f10003.mp4?
地下尖兵,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/188d5706e5774f06850e06e4f181c4bd/850.m3u8
第一剧场,http://218.17.216.102:9901/tsfile/live/1072_1.m3u8
第一剧场1920*1080,http://218.17.143.73:9901/tsfile/live/1008_1.m3u8
电视剧1920*1080,http://118.122.78.172:89/live1/live1.m3u8
电影,https://50069.njc.svp.tencent-cloud.com/0bf22uaawaaakiacgmsq5jqfbvodbpkqacya.f10002.mp4
电影轮播,http://hpull.kktv8.com/livekktv/99592190/playlist.m3u8
东森电影,http://app.xinghuozhibo.net:80/dl/gt.php?id=gt38&tm=1661137472&key=efdadbf4e10ee1a97482adab240aaf71
动作影院,http://61.130.72.18:8888/tsfile/live/1005_1.m3u8
都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8?zshangd
都市剧场,http://mrcat.myqnapcloud.com:4022/udp/239.81.0.81:4056
都市剧场1920*1080,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
斗鱼影评HD2,http://epg.112114.xyz/douyu/10240495
斗鱼影评HD3,http://epg.112114.xyz/douyu/9419771
斗鱼影评HD5,http://epg.112114.xyz/douyu/8317926
斗鱼影评HD6,http://epg.112114.xyz/douyu/10317257
斗鱼影评HD7,http://epg.112114.xyz/douyu/8986636
斗鱼影评HD8,http://epg.112114.xyz/douyu/9837291
斗鱼影评HD9,http://epg.112114.xyz/douyu/297689
独行月球,https://10000.njc.svp.tencent-cloud.com/0bc324aagaaa4eabxxitzrrvbv6daplqaaya.f10002.mp4?
法医宋慈,http://api.zui7.com:90/xg.php?id=v0300fa40000bt9ipnrtgbbuok7acsv0
反转星球,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3ccdecc7d6e341c1920ad4eac5d82f38/1200.m3u8
反转星球1280*720,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3ccdecc7d6e341c1920ad4eac5d82f38/1200.m3u8
风云剧场,http://218.17.216.102:9901/tsfile/live/1070_1.m3u8
风云剧场,http://42.176.185.28:9901/tsfile/live/1030_1.m3u8
风云剧场,http://42.176.185.28:9901/tsfile/live/1031_1.m3u8
凤凰电影1047*576,http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA
佛山影视2,http://fxhack.f3322.org:8000/udp/239.253.43.56:5146
福州影视0*0,http://ls.qingting.fm/live/4911.m3u8
港片-断刀客,https://50069.njc.svp.tencent-cloud.com/0bc3iaabaaaazyaldque5bqvaqgdcbaaaeaa.f10002.mp4
港片-金臂童,https://50069.njc.svp.tencent-cloud.com/0b78baaaeaaai4aaaklwujqvacgdaieaaaqa.f10003.mp4
港片-六指琴魔,https://50069.njc.svp.tencent-cloud.com/0bc36qaa4aaavaam2cuda5qvb5gdb32aadqa.f10004.mp4
港片-霹雳拳,https://50069.njc.svp.tencent-cloud.com/0b78uiaagaaa44akhvme4vqvbiwdaoraaaya.f10003.mp4
港片-少林传人,https://50069.njc.svp.tencent-cloud.com/0bf2oiaa2aaafuaeneub6bqva4wdbvzaadia.f10003.mp4
港片-少林五祖,https://50069.njc.svp.tencent-cloud.com/0bc3fiabaaaalaanebud7vqvakwdcavaaeaa.f10004.mp4
港片-少林子弟,https://50069.njc.svp.tencent-cloud.com/0bf2giaaeaaa7uapzf3ybbqvamwdaizaaaqa.f10003.mp4
港片-五虎屠龙,https://50069.njc.svp.tencent-cloud.com/0b78cqaakaaadmalareh2vqvafgdaukaabia.f10003.mp4
高颜值偶像剧,http://bp-caster.bestv.com.cn:80/328/play.m3u8
跟踪追击,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/059096230b4e46c0b5d4929ff98435d0/850.m3u8
孤胆特工,https://zjrsys.gzc.svp.tencent-cloud.com/0bf2mma4kaabwiai6k7ayrpvcy6dyvrqdria.f10002.mp4?
古惑仔全集回顾,https://vd2.bdstatic.com/mda-iagv1f2emukmubvx/sc/mda-iagv1f2emukmubvx.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1656253671-0-0-5b25664304be37ba18b61a96d610d2e2&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3471203283&vid=15991889853397773093&abtest=102777_7-102784_2-102836_3-102982_4-17451_1-3000232_1&klogid=3471203283
古装电影《毒中毒》,https://zjrsys.gzc.svp.tencent-cloud.com/0bc36qadeaaaiiakcpv4ivqvb5gdgl2aamqa.f10002.mp4?
古装经典片,http://dx-aliyuncdncnc.inter.iqiyi.com/tslive/c54_lb_152_600_t10/c54_lb_152_600_t10.m3u8?key=007540012225a9e4fb39d113ea61819d0&dis
固镇影视频道,http://www.guzhenm.com:7004/hls/hd-live.m3u8
广东影视,http://v2.91kds.cn/b9/itouchtv.m3u8?fmt=hls&id=gdtvs4&auth=rinimabi
广西影视,http://mrcat.myqnapcloud.com:4022/udp/239.81.0.7:4056
广西影视1920*1080,http://111.59.63.32:9901/tsfile/live/1006_1.m3u8
鬼夫,https://50069.njc.svp.tencent-cloud.com//0bf2n4aawaaaliao772og5qva36dbnxqacya.f10002.mp4?
鬼咬鬼,https://50069.njc.svp.tencent-cloud.com/0bc3maabuaaajeaijzk55jrfaygddjqaagqa.f10002.mp4
哈尔滨影,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
海西电影,http://stream.haixitv.cn/1/sd/live.m3u8
河北影剧,https://jwplay.hebyun.com.cn/live/hbystv/1500k/tzwj_video.m3u8?zhebd
河北影事,https://jwplay.hebyun.com.cn:443/live/hbystv/1500k/tzwj_video.m3u8
河北影事剧,https://event.pull.hebtv.com/jishi/yingshijupindao.m3u8
河北影视1920*1080,http://183.196.25.171:808/hls/19/index.m3u8
河北影视剧,http://183.196.25.171:808/hls/19/index.m3u8?$超清1080P
河北影视台,https://event.pull.hebtv.com/jishi/yingshijupindao.m3u8
菏泽影,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8?shandd
黑龙江影,https://idclive.hljtv.com:4430/live/hljys_hd.m3u8?zheild
黑龙江影视,https://idclive.hljtv.com:4430/live/hljys_hd.m3u8?zheild
黑龙江影视1280*720,https://idclive.hljtv.com:4430/live/hljys_hd.m3u8
黑侠,http://cs.gzc.svp.tencent-cloud.com/0bf2xmab2aaai4ahlqefbfqfbo6ddw5qahia.f10002.mp4?
红尘客栈1920*1080,http://em.21dtv.com/songs/60114603.mkv
红尘有缘1920*1080,http://em.21dtv.com/songs/60110150.mkv
红石杀手,https://zjrsys.gzc.svp.tencent-cloud.com/0bc33mabgaaaa4aenihkbfqvbw6dcpnqaeya.f10002.mp4?
湖南电视剧,http://223.151.51.27:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://kjol.cc/proxy/hunan.php?id=484
湖南电视剧1920*1080,http://223.151.51.27:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧HD,http://home.111818.xyz:8888/udp/239.76.246.108:1234
湖南电影1920*1080,http://223.151.51.27:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影HD,http://home.111818.xyz:8888/udp/239.76.246.106:1234
湖南电影台,http://223.151.51.27:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧90,http://epg.112114.xyz/douyu/9275635
怀旧剧场,http://218.17.216.102:9901/tsfile/live/1069_1.m3u8
淮安影院娱乐,http://live1.habctv.com/ysylsl/sd/live.m3u8?zjiangsd
淮阴影院频道,http://huaiyin-tv-hls.cm.jstv.com/huaiyin-tv/hyys.m3u8?zjiangsd
欢笑剧场,http://111.20.35.103:6610/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$蓝光4K
幻影,https://zjrsys.gzc.svp.tencent-cloud.com/0bc3ieaccaaa7maea54z4vrfaqodefaqaiia.f10002.mp4?
黄金大逃狱2022,https://zjrsys.gzc.svp.tencent-cloud.com/0bc32yaa4aaal4aioipoz5rfbvwdb3laadqa.f10002.mp4?
吉林影事,http://stream1.jlntv.cn/yspd/sd/live.m3u8
吉林影院,http://stream1.jlntv.cn/yspd/sd/live.m3u8?zjild
集结号,https://zjrsys.gzc.svp.tencent-cloud.com/0bf22yaakaaan4ab7g2m4jqfbvwdaxlaabia.f10002.mp4?
金马影院,https://pull.kktv8.com/livekktv/128600025.flv?_t=0.03302458679376152
经典电影,http://mrcat.myqnapcloud.com:4022/udp/239.81.0.84:4056
精装追女仔2,https://wolongzywcdn3.com:65/20220707/D9MwgqEM/index.m3u8
精装追女仔3之狼之一族,https://wolongzywcdn3.com:65/20220707/uOTMiHbe/index.m3u8
九龙镇天棺,http://cs.gzc.svp.tencent-cloud.com/0bc3z4aagaaajyapcpp2nvrfbt6daphqaaya.f10002.mp4?
举起手来2第下部,https://50069.njc.svp.tencent-cloud.com/0bf2lealgaaayial462lvvpvawodwnmqbmya.f10003.mp4
句容影院频道,http://jrlive.jrntv.com/live/_definst_/yingshis/playlist.m3u8?zjiangsd
科拉尔金矿2,https://zjrsys.gzc.svp.tencent-cloud.com/0bc3myaaaaaaoiapnq7uobrfazwdabtaaaaa.f10002.mp4?
老鼠也能上天堂,https://zjrsys.gzc.svp.tencent-cloud.com/0bc3biaauaaagyamj56yvrrfacwdbifaacqa.f10002.mp4?
雷神4爱与雷霆2022,https://50069.njc.svp.tencent-cloud.com//0b2ekmaauaaajyab536whnrfau6dbjjqacqa.f10002.mp4?
溧水影事,https://live.lsrmw.cn/ysyl/sd/live.m3u8
溧水影视1280*720,http://live.lsrmw.cn/ysyl/sd/live.m3u8
溧水影视1280*720,https://live.lsrmw.cn/ysyl/sd/live.m3u8
溧水影视娱乐,http://live.lsrmw.cn/ysyl/sd/live.m3u8?zjiangsd
溧水影院娱乐,http://live.lsrmw.cn/ysyl/sd/live.m3u8?zjiangsd
辽宁影事剧,http://42.176.185.28:9901/tsfile/live/1012_1.m3u8
猎豹行动2002,http://cs.gzc.svp.tencent-cloud.com/0bc3iiacaaaatmamwlrnjvrfaqwdebbaaiaa.f10002.mp4?
林林影院,http://epg.112114.xyz/douyu/9652323
柳林影,http://pili-live-hls.212.i2863.com/i2863-212/live_212_316579.m3u8?zshanxd
隆化影视(高清),http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
隆化影视,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
隆化影视频道 (576p),http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
麓山迷踪,http://epg.112114.xyz/douyu/4505431
漫威电影,http://epg.112114.xyz/douyu/4282654
漫威影片,http://epg.112114.xyz/douyu/6140589
毛驴县令之草鞋公主,http://api.zui7.com:90/xg.php?id=v0200fc00000bv0v3koo772tjkl6am0g
毛驴县令之赌命考官,http://api.zui7.com:90/xg.php?id=v0300f3a0000bv10acavp44c0fp65eu0
毛驴县令之非我莫属,http://api.zui7.com:90/xg.php?id=v0300f6b0000bv0v4k2504rrg5hfdthg
毛驴县令之虎口拔牙,http://api.zui7.com:90/xg.php?id=v0300f700000bv0v6l6gfjudk9nodk2g
毛驴县令之酸儿辣女,http://api.zui7.com:90/xg.php?id=v0300f330000bv0v7hkt51jm01n472lg
毛驴县令之天外来客,http://api.zui7.com:90/xg.php?id=v0300f3e0000bv0v9dtmpcj0u4lr2rt0
毛驴县令之宛如格格,http://api.zui7.com:90/xg.php?id=v0300f6b0000bv0vcr2504rrg5hfnpu0
毛驴县令之五官争功,http://api.zui7.com:90/xg.php?id=v0300f700000bv0vct0pt6ave30llu10
绵阳影视1920*1080,http://l2yx82zv.live2.danghongyun.com/live/hls/8be0890a1b0c4d7aaf80b51ea8646682/5a8988f5ecc64986a19aa9b6b3a052a6-1.m3u8
南京影视,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
南宁影视台,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
南宁影视娱乐,http://mrcat.myqnapcloud.com:4022/udp/239.81.0.128:4056
南宁影视娱乐1280*720,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
南宁影娱乐,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8?zguangxd
宁波影视,http://v2.91kds.cn/b9/zjnbtv.m3u8?fmt=hls&id=zjnbtv4&auth=rinimabi
女神影院,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
女神影院,https://pull.kktv8.com/livekktv/99350550.flv
女神影院,https://pull.kktv8.com/livekktv/99350550/playlist.m3u8
女神影院1280*720,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
